French,English
partie,part
chercher,search
seulement,only
police,police
aide,help
demande,request
genre,kind
car,because
aucun,no
laisse,leash
eux,them
ville,city
arrivé,come
devrait,should
heures,hours
vont,will
pendant,while
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
premier,first
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
suite,after
pardon,sorry
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
aura,will have
filles,girls
